Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score,Categoria_Desempenho,Faixa_Frequencia,Horas_Estudadas_Normalizado
21,77,Baixo,Médio,Sim,7,90,Médio,Sim,4,Médio,Médio,Privado,Neutro,3,Não,Pós-Graduação,Moderado,Masculino,68,Médio,Média,0.17105954755967837
18,81,Alto,Baixo,Sim,8,71,Médio,Sim,0,Médio,Médio,Público,Neutro,3,Não,Ensino Médio,Moderado,Feminino,65,Baixo,Alta,-0.329763390723983
21,72,Médio,Médio,Sim,5,57,Médio,Sim,1,Alto,Médio,Público,Neutro,5,Sim,Faculdade,Moderado,Masculino,64,Baixo,Média,0.17105954755967837
8,61,Médio,Médio,Sim,7,54,Médio,Sim,1,Alto,Médio,Público,Positivo,3,Não,Faculdade,Perto,Masculino,60,Baixo,Média,-1.9991731850028542
19,69,Médio,Alto,Sim,7,82,Alto,Sim,1,Baixo,Médio,Público,Negativo,2,Não,Ensino Médio,Perto,Masculino,65,Baixo,Média,-0.16282241129609587
22,71,Alto,Médio,Não,6,79,Alto,Sim,1,Baixo,Baixo,Público,Positivo,3,Não,Ensino Médio,Perto,Masculino,66,Médio,Média,0.3380005269875655
29,78,Alto,Alto,Sim,4,93,Baixo,Sim,5,Médio,Alto,Público,Neutro,3,Não,Faculdade,Perto,Masculino,74,Médio,Média,1.5065873829827754
17,67,Médio,Médio,Sim,5,52,Alto,Sim,2,Médio,Médio,Privado,Negativo,3,Não,Ensino Médio,Longe,Feminino,62,Baixo,Média,-0.49670437015187013
15,95,Médio,Médio,Não,7,93,Médio,Sim,2,Baixo,Médio,Público,Positivo,4,Não,Faculdade,Moderado,Masculino,70,Médio,Alta,-0.8305863290076444
17,88,Médio,Alto,Sim,7,94,Baixo,Sim,0,Médio,Médio,Público,Neutro,3,Não,Ensino Médio,Perto,Masculino,69,Médio,Alta,-0.49670437015187013
25,63,Médio,Alto,Sim,7,72,Médio,Sim,3,Médio,Alto,Privado,Negativo,4,Não,Faculdade,Longe,Masculino,67,Médio,Média,0.8388234652712269
22,86,Baixo,Baixo,Não,6,54,Médio,Sim,2,Médio,Médio,Público,Neutro,0,Não,Ensino Médio,Moderado,Masculino,64,Baixo,Alta,0.3380005269875655
17,86,Médio,Alto,Não,5,97,Alto,Sim,3,Alto,Médio,Público,Neutro,3,Não,Faculdade,Perto,Masculino,71,Médio,Alta,-0.49670437015187013
23,98,Médio,Baixo,Sim,7,54,Baixo,Sim,0,Médio,Médio,Público,Negativo,3,Não,Faculdade,Perto,Feminino,68,Médio,Alta,0.5049415064154527
21,60,Alto,Médio,Não,7,80,Médio,Sim,0,Médio,Alto,Público,Neutro,4,Sim,Faculdade,Perto,Masculino,64,Baixo,Baixa,0.17105954755967837
26,70,Médio,Baixo,Sim,8,75,Médio,Sim,1,Médio,Baixo,Privado,Neutro,4,Sim,Ensino Médio,Longe,Feminino,63,Baixo,Média,1.005764444699114
16,97,Médio,Médio,Sim,6,92,Baixo,Sim,0,Alto,Médio,Privado,Positivo,4,Não,Faculdade,Perto,Masculino,71,Médio,Alta,-0.6636453495797573
18,97,Alto,Médio,Sim,4,75,Baixo,Sim,0,Baixo,Médio,Público,Positivo,3,Não,Ensino Médio,Moderado,Masculino,69,Médio,Alta,-0.329763390723983
18,89,Alto,Médio,Sim,4,73,Médio,Sim,3,Alto,Médio,Privado,Positivo,2,Não,Faculdade,Perto,Feminino,100,Alto,Alta,-0.329763390723983
11,91,Médio,Médio,Não,6,94,Médio,Sim,3,Médio,Médio,Público,Neutro,3,Não,Faculdade,Moderado,Masculino,68,Médio,Alta,-1.498350246719193
22,64,Baixo,Médio,Não,7,98,Baixo,Não,1,Médio,Médio,Público,Negativo,3,Não,Ensino Médio,Perto,Masculino,62,Baixo,Média,0.3380005269875655
22,81,Médio,Médio,Sim,7,77,Baixo,Sim,2,Médio,Médio,Público,Positivo,3,Não,Pós-Graduação,Longe,Feminino,68,Médio,Alta,0.3380005269875655
20,69,Alto,Alto,Sim,6,73,Médio,Sim,2,Baixo,Médio,Privado,Positivo,3,Não,Ensino Médio,Longe,Masculino,66,Médio,Média,0.0041185681317912485
19,67,Baixo,Médio,Não,5,92,Alto,Sim,0,Médio,Médio,Público,Positivo,3,Não,Faculdade,Perto,Masculino,64,Baixo,Média,-0.16282241129609587
12,92,Médio,Médio,Não,4,92,Alto,Sim,2,Médio,Alto,Público,Neutro,3,Sim,Ensino Médio,Moderado,Masculino,67,Médio,Alta,-1.3314092672913058
17,65,Médio,Alto,Sim,8,66,Médio,Sim,1,Alto,Alto,Público,Neutro,4,Sim,Pós-Graduação,Moderado,Feminino,65,Baixo,Média,-0.49670437015187013
18,79,Médio,Médio,Sim,7,79,Médio,Sim,0,Baixo,Alto,Privado,Neutro,3,Não,Faculdade,Longe,Masculino,65,Baixo,Média,-0.329763390723983
15,98,Alto,Médio,Não,6,58,Alto,Sim,0,Baixo,Alto,Público,Positivo,3,Não,Faculdade,Perto,Masculino,69,Médio,Alta,-0.8305863290076444
19,67,Médio,Médio,Não,5,82,Alto,Sim,1,Baixo,Baixo,Privado,Negativo,3,Não,Ensino Médio,Perto,Masculino,63,Baixo,Média,-0.16282241129609587
22,99,Médio,Baixo,Sim,6,92,Baixo,Sim,3,Médio,Médio,Público,Negativo,4,Não,Pós-Graduação,Moderado,Masculino,72,Médio,Alta,0.3380005269875655
31,100,Médio,Médio,Não,7,59,Médio,Sim,2,Alto,Alto,Público,Positivo,5,Não,Pós-Graduação,Moderado,Masculino,76,Médio,Alta,1.8404693418385496
21,82,Médio,Alto,Sim,7,66,Alto,Sim,3,Baixo,Médio,Público,Positivo,3,Sim,Faculdade,Perto,Feminino,69,Médio,Alta,0.17105954755967837
22,67,Médio,Médio,Sim,7,72,Alto,Sim,3,Baixo,Alto,Público,Positivo,2,Não,Pós-Graduação,Moderado,Feminino,67,Médio,Média,0.3380005269875655
20,73,Alto,Médio,Sim,9,92,Médio,Sim,2,Médio,Alto,Público,Positivo,3,Não,Faculdade,Perto,Masculino,69,Médio,Média,0.0041185681317912485
8,77,Alto,Médio,Sim,6,87,Médio,Sim,0,Baixo,Médio,Público,Neutro,2,Não,Ensino Médio,Moderado,Masculino,63,Baixo,Média,-1.9991731850028542
20,72,Médio,Médio,Não,9,66,Médio,Sim,3,Baixo,Alto,Privado,Positivo,3,Não,Pós-Graduação,Perto,Masculino,67,Médio,Média,0.0041185681317912485
20,71,Baixo,Alto,Sim,7,62,Alto,Sim,2,Médio,Médio,Público,Negativo,5,Não,Faculdade,Perto,Masculino,66,Médio,Média,0.0041185681317912485
35,99,Alto,Alto,Sim,7,85,Baixo,Sim,2,Médio,Alto,Privado,Neutro,2,Não,Pós-Graduação,Perto,Feminino,79,Médio,Alta,2.508233259550098
19,66,Médio,Médio,Não,8,74,Médio,Sim,1,Alto,Médio,Público,Neutro,3,Não,Ensino Médio,Perto,Feminino,64,Baixo,Média,-0.16282241129609587
22,89,Alto,Alto,Sim,6,80,Médio,Sim,1,Alto,Alto,Público,Positivo,3,Não,Ensino Médio,Perto,Feminino,73,Médio,Alta,0.3380005269875655
20,60,Baixo,Alto,Não,7,82,Alto,Sim,2,Baixo,Alto,Público,Positivo,4,Sim,Ensino Médio,Perto,Masculino,63,Baixo,Baixa,0.0041185681317912485
13,84,Médio,Médio,Não,5,78,Médio,Sim,1,Baixo,Alto,Público,Positivo,2,Não,Ensino Médio,Perto,Masculino,65,Baixo,Alta,-1.1644682878634187
27,97,Baixo,Alto,Sim,8,81,Médio,Sim,0,Alto,Médio,Público,Positivo,5,Não,Ensino Médio,Perto,Feminino,73,Médio,Alta,1.1727054241270012
25,72,Alto,Alto,Sim,8,94,Baixo,Sim,2,Baixo,Médio,Privado,Positivo,4,Não,Faculdade,Moderado,Feminino,70,Médio,Média,0.8388234652712269
25,67,Alto,Médio,Não,9,93,Alto,Sim,2,Baixo,Alto,Público,Positivo,3,Sim,Ensino Médio,Perto,Feminino,68,Médio,Média,0.8388234652712269
15,86,Médio,Médio,Sim,7,57,Médio,Sim,1,Médio,Médio,Público,Negativo,3,Não,Faculdade,Perto,Masculino,65,Baixo,Alta,-0.8305863290076444
28,89,Baixo,Alto,Sim,9,79,Alto,Sim,0,Baixo,Médio,Privado,Positivo,1,Não,Faculdade,Moderado,Feminino,71,Médio,Alta,1.3396464035548883
12,88,Baixo,Médio,Não,6,72,Baixo,Sim,2,Médio,Médio,Público,Positivo,2,Não,Faculdade,Longe,Masculino,64,Baixo,Alta,-1.3314092672913058
24,73,Médio,Alto,Sim,8,64,Médio,Sim,4,Alto,Médio,Privado,Neutro,3,Sim,Faculdade,Moderado,Masculino,68,Médio,Média,0.6718824858433398
33,70,Médio,Médio,Sim,6,82,Baixo,Sim,1,Baixo,Alto,Público,Neutro,4,Não,Faculdade,Perto,Masculino,69,Médio,Média,2.174351300694324
14,98,Médio,Médio,Não,7,76,Médio,Sim,0,Médio,Alto,Privado,Positivo,4,Não,Faculdade,Moderado,Feminino,69,Médio,Alta,-0.9975273084355315
17,97,Médio,Médio,Não,8,89,Médio,Sim,1,Baixo,Médio,Público,Neutro,4,Não,Ensino Médio,Longe,Masculino,69,Médio,Alta,-0.49670437015187013
21,78,Médio,Médio,Sim,10,55,Médio,Sim,1,Alto,Baixo,Privado,Positivo,2,Não,Faculdade,Perto,Masculino,67,Médio,Média,0.17105954755967837
17,94,Baixo,Médio,Sim,8,65,Baixo,Sim,4,Médio,Médio,Público,Neutro,6,Não,Ensino Médio,Longe,Feminino,68,Médio,Alta,-0.49670437015187013
11,78,Médio,Alto,Sim,8,51,Médio,Sim,2,Baixo,Médio,Público,Neutro,3,Não,Pós-Graduação,Perto,Masculino,64,Baixo,Média,-1.498350246719193
20,77,Médio,Médio,Não,6,87,Baixo,Sim,0,Baixo,Alto,Público,Positivo,4,Não,Ensino Médio,Perto,Feminino,66,Médio,Média,0.0041185681317912485
14,66,Alto,Baixo,Não,7,96,Médio,Sim,3,Baixo,Alto,Público,Negativo,3,Não,Ensino Médio,Perto,Masculino,63,Baixo,Média,-0.9975273084355315
23,77,Médio,Médio,Sim,7,79,Médio,Sim,0,Baixo,Alto,Público,Neutro,2,Não,Ensino Médio,Moderado,Masculino,66,Médio,Média,0.5049415064154527
14,81,Médio,Médio,Não,9,81,Médio,Sim,1,Baixo,Alto,Privado,Negativo,3,Não,Pós-Graduação,Perto,Feminino,66,Médio,Alta,-0.9975273084355315
29,61,Médio,Alto,Sim,7,52,Baixo,Sim,3,Baixo,Médio,Privado,Positivo,3,Não,Faculdade,Perto,Feminino,67,Médio,Média,1.5065873829827754
15,78,Alto,Alto,Não,9,75,Baixo,Sim,1,Baixo,Médio,Público,Negativo,1,Não,Ensino Médio,Perto,Masculino,65,Baixo,Média,-0.8305863290076444
18,91,Baixo,Médio,Sim,5,76,Médio,Sim,1,Médio,Médio,Público,Neutro,3,Não,Ensino Médio,Perto,Feminino,68,Médio,Alta,-0.329763390723983
25,87,Médio,Baixo,Não,9,52,Alto,Sim,1,Baixo,Alto,Privado,Positivo,2,Não,Ensino Médio,Perto,Masculino,68,Médio,Alta,0.8388234652712269
13,85,Alto,Médio,Não,6,89,Médio,Sim,0,Alto,Médio,Privado,Neutro,1,Sim,Ensino Médio,Perto,Masculino,65,Baixo,Alta,-1.1644682878634187
21,96,Médio,Médio,Não,8,64,Alto,Sim,2,Médio,Alto,Público,Neutro,0,Não,Faculdade,Perto,Masculino,71,Médio,Alta,0.17105954755967837
28,61,Médio,Alto,Não,6,86,Alto,Sim,1,Baixo,Médio,Privado,Negativo,3,Sim,Pós-Graduação,Longe,Masculino,65,Baixo,Média,1.3396464035548883
10,82,Médio,Baixo,Não,8,70,Médio,Sim,3,Baixo,Alto,Público,Positivo,1,Sim,Pós-Graduação,Perto,Feminino,64,Baixo,Alta,-1.66529122614708
21,91,Alto,Médio,Não,6,100,Médio,Sim,0,Alto,Médio,Privado,Neutro,2,Não,Pós-Graduação,Perto,Feminino,72,Médio,Alta,0.17105954755967837
22,82,Médio,Médio,Não,9,61,Médio,Sim,2,Baixo,Médio,Público,Negativo,2,Sim,Ensino Médio,Perto,Feminino,65,Baixo,Alta,0.3380005269875655
25,73,Médio,Alto,Não,8,53,Alto,Não,0,Baixo,Alto,Privado,Negativo,5,Não,Pós-Graduação,Perto,Feminino,66,Médio,Média,0.8388234652712269
13,65,Baixo,Alto,Não,6,99,Médio,Sim,0,Baixo,Médio,Privado,Negativo,4,Não,Ensino Médio,Perto,Masculino,61,Baixo,Média,-1.1644682878634187
12,96,Baixo,Alto,Sim,8,62,Médio,Sim,2,Médio,Alto,Público,Negativo,3,Não,Faculdade,Perto,Feminino,68,Médio,Alta,-1.3314092672913058
23,79,Alto,Alto,Sim,8,82,Baixo,Sim,3,Médio,Médio,Público,Negativo,3,Sim,Pós-Graduação,Moderado,Feminino,69,Médio,Média,0.5049415064154527
22,95,Médio,Alto,Sim,6,69,Médio,Sim,1,Baixo,Médio,Público,Positivo,3,Não,Faculdade,Perto,Feminino,72,Médio,Alta,0.3380005269875655
22,83,Médio,Alto,Sim,5,82,Médio,Sim,2,Baixo,Alto,Público,Positivo,3,Não,Pós-Graduação,Perto,Feminino,71,Médio,Alta,0.3380005269875655
22,87,Alto,Alto,Não,5,80,Baixo,Sim,2,Baixo,Alto,Público,Negativo,3,Não,Ensino Médio,Perto,Feminino,70,Médio,Alta,0.3380005269875655
16,92,Médio,Alto,Sim,5,85,Baixo,Sim,1,Baixo,Médio,Público,Neutro,2,Não,Ensino Médio,Moderado,Masculino,68,Médio,Alta,-0.6636453495797573
21,86,Baixo,Médio,Sim,5,51,Médio,Sim,2,Baixo,Alto,Público,Positivo,2,Não,Ensino Médio,Moderado,Feminino,67,Médio,Alta,0.17105954755967837
