,Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score,faixa_nota
23,11,78,Alto,Médio,Sim,8,100,Alto,Sim,1,Baixo,Médio,Público,Neutro,3,Não,Ensino Médio,Moderado,Masculino,66,médio
24,17,65,Baixo,Alto,Sim,5,75,Médio,Sim,2,Baixo,Médio,Público,Positivo,3,Não,Ensino Médio,Perto,Feminino,63,médio
25,21,62,Alto,Baixo,Sim,6,54,Alto,Sim,0,Alto,Alto,Público,Positivo,3,Não,Pós-Graduação,Longe,Masculino,64,médio
26,13,91,Baixo,Médio,Não,6,90,Médio,Sim,1,Alto,Médio,Público,Negativo,2,Sim,Ensino Médio,Moderado,Feminino,65,médio
27,22,83,Alto,Alto,Sim,6,94,Médio,Sim,0,Alto,Médio,Público,Neutro,2,Não,Faculdade,Moderado,Masculino,71,médio
28,16,90,Médio,Médio,Não,4,58,Médio,Sim,1,Baixo,Médio,Público,Neutro,3,Não,Ensino Médio,Moderado,Feminino,66,médio
29,18,66,Alto,Alto,Não,4,51,Baixo,Sim,2,Baixo,Médio,Privado,Neutro,2,Não,Faculdade,Perto,Masculino,64,médio
30,16,83,Baixo,Médio,Não,6,57,Médio,Sim,0,Alto,Baixo,Público,Positivo,4,Sim,Ensino Médio,Perto,Feminino,63,médio
31,31,70,Médio,Alto,Sim,7,66,Médio,Sim,1,Alto,Médio,Público,Negativo,3,Não,Faculdade,Perto,Masculino,69,médio
32,20,69,Médio,Médio,Sim,8,96,Médio,Sim,2,Médio,Alto,Público,Positivo,3,Não,Ensino Médio,Perto,Masculino,67,médio
33,14,60,Alto,Médio,Não,5,50,Médio,Sim,2,Médio,Médio,Público,Neutro,3,Não,Faculdade,Perto,Feminino,61,médio
34,25,65,Alto,Médio,Não,5,90,Médio,Sim,2,Médio,Médio,Público,Positivo,3,Não,Faculdade,Moderado,Feminino,68,médio
35,13,72,Baixo,Médio,Não,6,93,Baixo,Sim,1,Baixo,Médio,Público,Negativo,3,Não,Ensino Médio,Perto,Masculino,61,médio
36,21,65,Médio,Baixo,Sim,7,91,Baixo,Sim,2,Médio,Alto,Público,Positivo,3,Não,Ensino Médio,Longe,Feminino,64,médio
37,8,99,Médio,Médio,Não,9,54,Baixo,Sim,2,Baixo,Médio,Público,Neutro,5,Não,Pós-Graduação,Perto,Feminino,67,médio
38,12,72,Baixo,Médio,Sim,8,84,Médio,Sim,1,Baixo,Médio,Público,Positivo,5,Não,Ensino Médio,Perto,Feminino,63,médio
39,21,65,Baixo,Médio,Sim,6,98,Baixo,Sim,1,Médio,Alto,Público,Negativo,4,Não,Ensino Médio,Perto,Masculino,64,médio
40,24,68,Alto,Médio,Não,8,56,Baixo,Sim,3,Alto,Alto,Público,Neutro,1,Não,Faculdade,Perto,Masculino,67,médio
41,21,84,Médio,Médio,Sim,6,52,Baixo,Sim,1,Médio,Alto,Público,Neutro,2,Sim,Faculdade,Longe,Feminino,65,médio
42,19,63,Baixo,Alto,Não,7,94,Médio,Sim,1,Médio,Médio,Privado,Positivo,3,Não,Ensino Médio,Moderado,Masculino,64,médio
43,18,94,Médio,Alto,Sim,7,82,Médio,Sim,3,Médio,Médio,Privado,Negativo,2,Sim,Faculdade,Perto,Masculino,70,médio
44,11,98,Médio,Médio,Sim,9,82,Baixo,Sim,1,Médio,Médio,Privado,Positivo,3,Não,Pós-Graduação,Longe,Masculino,68,médio
45,16,70,Médio,Médio,Sim,8,98,Médio,Sim,2,Médio,Médio,Público,Positivo,3,Não,Ensino Médio,Moderado,Masculino,65,médio
46,17,78,Médio,Médio,Sim,6,88,Médio,Sim,1,Médio,Alto,Privado,Positivo,3,Não,Faculdade,Perto,Feminino,68,médio
47,26,61,Médio,Baixo,Sim,6,70,Médio,Sim,2,Baixo,Médio,Público,Positivo,3,Não,Ensino Médio,Moderado,Feminino,64,médio
48,22,86,Baixo,Médio,Sim,7,72,Baixo,Sim,3,Baixo,Alto,Público,Positivo,2,Não,Ensino Médio,Moderado,Masculino,68,médio
49,9,77,Médio,Médio,Não,5,57,Médio,Sim,2,Médio,Alto,Público,Neutro,3,Não,Ensino Médio,Perto,Masculino,63,médio
50,22,71,Baixo,Médio,Sim,7,65,Baixo,Sim,1,Médio,Baixo,Público,Positivo,4,Não,Faculdade,Moderado,Masculino,64,médio
51,18,68,Alto,Médio,Não,7,72,Médio,Sim,0,Médio,Médio,Público,Neutro,3,Não,Faculdade,Perto,Masculino,64,médio
52,16,86,Baixo,Médio,Sim,8,63,Médio,Sim,2,Médio,Médio,Público,Positivo,4,Não,Ensino Médio,Perto,Masculino,67,médio
53,24,77,Alto,Baixo,Não,8,96,Médio,Sim,0,Médio,Médio,Público,Neutro,3,Não,Ensino Médio,Perto,Feminino,67,médio
54,26,67,Médio,Alto,Sim,7,51,Baixo,Sim,2,Alto,Alto,Privado,Neutro,4,Sim,Pós-Graduação,Longe,Feminino,66,médio
55,26,88,Médio,Alto,Sim,5,79,Médio,Sim,1,Baixo,Alto,Privado,Positivo,4,Não,Faculdade,Moderado,Masculino,72,médio
56,15,83,Médio,Alto,Não,5,89,Baixo,Não,1,Médio,Alto,Público,Neutro,2,Sim,Ensino Médio,Perto,Feminino,65,médio
57,18,94,Médio,Médio,Sim,6,87,Alto,Sim,1,Médio,Médio,Público,Positivo,4,Não,Ensino Médio,Perto,Masculino,71,médio
58,22,65,Alto,Baixo,Não,8,82,Médio,Sim,2,Médio,Alto,Público,Positivo,1,Não,Pós-Graduação,Perto,Feminino,66,médio
59,26,91,Médio,Baixo,Sim,8,71,Médio,Sim,0,Baixo,Médio,Privado,Neutro,3,Não,Ensino Médio,Moderado,Masculino,68,médio
60,17,87,Médio,Médio,Não,7,96,Médio,Sim,1,Alto,Médio,Público,Negativo,5,Não,Pós-Graduação,Perto,Feminino,70,médio
61,19,65,Médio,Médio,Sim,10,66,Baixo,Sim,0,Baixo,Médio,Público,Positivo,3,Não,Ensino Médio,Moderado,Masculino,62,médio
62,13,88,Baixo,Alto,Sim,9,88,Alto,Sim,2,Baixo,Alto,Privado,Negativo,4,Não,Pós-Graduação,Longe,Masculino,68,médio
63,13,78,Médio,Alto,Sim,9,96,Alto,Sim,2,Baixo,Médio,Público,Neutro,3,Não,Faculdade,Moderado,Masculino,67,médio
64,25,98,Baixo,Alto,Sim,8,56,Médio,Não,0,Médio,Alto,Privado,Neutro,3,Não,Pós-Graduação,Perto,Masculino,71,médio
65,28,66,Médio,Alto,Sim,8,97,Médio,Sim,0,Médio,Médio,Público,Neutro,2,Não,Ensino Médio,Perto,Masculino,68,médio
66,20,86,Médio,Médio,Sim,8,89,Médio,Sim,1,Baixo,Médio,Público,Negativo,3,Não,Pós-Graduação,Perto,Masculino,69,médio
67,26,75,Baixo,Alto,Sim,4,81,Alto,Sim,3,Médio,Alto,Privado,Positivo,2,Não,Ensino Médio,Moderado,Masculino,70,médio
68,22,98,Médio,Alto,Não,5,69,Baixo,Não,1,Baixo,Alto,Público,Negativo,4,Não,Ensino Médio,Moderado,Feminino,69,médio
69,16,73,Médio,Médio,Não,7,95,Médio,Sim,1,Baixo,Médio,Público,Negativo,4,Não,Faculdade,Perto,Masculino,65,médio
70,22,98,Médio,Baixo,Sim,7,52,Médio,Não,3,Médio,Médio,Público,Positivo,3,Não,Faculdade,Perto,Feminino,70,médio
71,29,96,Médio,Baixo,Sim,7,72,Médio,Sim,1,Baixo,Médio,Público,Positivo,3,Não,Ensino Médio,Moderado,Masculino,71,médio
72,20,71,Médio,Médio,Sim,7,88,Médio,Sim,1,Baixo,Baixo,Público,Neutro,4,Não,Faculdade,Perto,Feminino,65,médio
73,29,92,Baixo,Médio,Não,4,91,Médio,Sim,2,Médio,Médio,Público,Negativo,1,Não,Pós-Graduação,Perto,Feminino,72,médio
74,4,100,Alto,Alto,Sim,8,60,Alto,Sim,0,Médio,Alto,Privado,Positivo,4,Não,Faculdade,Moderado,Masculino,69,médio
75,25,70,Médio,Médio,Não,7,52,Médio,Sim,1,Médio,Médio,Público,Positivo,3,Não,Pós-Graduação,Perto,Feminino,66,médio
76,21,77,Baixo,Médio,Sim,7,90,Médio,Sim,4,Médio,Médio,Privado,Neutro,3,Não,Pós-Graduação,Moderado,Masculino,68,médio
77,18,81,Alto,Baixo,Sim,8,71,Médio,Sim,0,Médio,Médio,Público,Neutro,3,Não,Ensino Médio,Moderado,Feminino,65,médio
78,21,72,Médio,Médio,Sim,5,57,Médio,Sim,1,Alto,Médio,Público,Neutro,5,Sim,Faculdade,Moderado,Masculino,64,médio
79,8,61,Médio,Médio,Sim,7,54,Médio,Sim,1,Alto,Médio,Público,Positivo,3,Não,Faculdade,Perto,Masculino,60,baixo
80,19,69,Médio,Alto,Sim,7,82,Alto,Sim,1,Baixo,Médio,Público,Negativo,2,Não,Ensino Médio,Perto,Masculino,65,médio
81,22,71,Alto,Médio,Não,6,79,Alto,Sim,1,Baixo,Baixo,Público,Positivo,3,Não,Ensino Médio,Perto,Masculino,66,médio
82,29,78,Alto,Alto,Sim,4,93,Baixo,Sim,5,Médio,Alto,Público,Neutro,3,Não,Faculdade,Perto,Masculino,74,médio
83,17,67,Médio,Médio,Sim,5,52,Alto,Sim,2,Médio,Médio,Privado,Negativo,3,Não,Ensino Médio,Longe,Feminino,62,médio
84,15,95,Médio,Médio,Não,7,93,Médio,Sim,2,Baixo,Médio,Público,Positivo,4,Não,Faculdade,Moderado,Masculino,70,médio
85,17,88,Médio,Alto,Sim,7,94,Baixo,Sim,0,Médio,Médio,Público,Neutro,3,Não,Ensino Médio,Perto,Masculino,69,médio
86,25,63,Médio,Alto,Sim,7,72,Médio,Sim,3,Médio,Alto,Privado,Negativo,4,Não,Faculdade,Longe,Masculino,67,médio
87,22,86,Baixo,Baixo,Não,6,54,Médio,Sim,2,Médio,Médio,Público,Neutro,0,Não,Ensino Médio,Moderado,Masculino,64,médio
88,17,86,Médio,Alto,Não,5,97,Alto,Sim,3,Alto,Médio,Público,Neutro,3,Não,Faculdade,Perto,Masculino,71,médio
89,23,98,Médio,Baixo,Sim,7,54,Baixo,Sim,0,Médio,Médio,Público,Negativo,3,Não,Faculdade,Perto,Feminino,68,médio
90,21,60,Alto,Médio,Não,7,80,Médio,Sim,0,Médio,Alto,Público,Neutro,4,Sim,Faculdade,Perto,Masculino,64,médio
91,26,70,Médio,Baixo,Sim,8,75,Médio,Sim,1,Médio,Baixo,Privado,Neutro,4,Sim,Ensino Médio,Longe,Feminino,63,médio
92,16,97,Médio,Médio,Sim,6,92,Baixo,Sim,0,Alto,Médio,Privado,Positivo,4,Não,Faculdade,Perto,Masculino,71,médio
93,18,97,Alto,Médio,Sim,4,75,Baixo,Sim,0,Baixo,Médio,Público,Positivo,3,Não,Ensino Médio,Moderado,Masculino,69,médio
94,18,89,Alto,Médio,Sim,4,73,Médio,Sim,3,Alto,Médio,Privado,Positivo,2,Não,Faculdade,Perto,Feminino,100,alto
95,11,91,Médio,Médio,Não,6,94,Médio,Sim,3,Médio,Médio,Público,Neutro,3,Não,Faculdade,Moderado,Masculino,68,médio
96,22,64,Baixo,Médio,Não,7,98,Baixo,Não,1,Médio,Médio,Público,Negativo,3,Não,Ensino Médio,Perto,Masculino,62,médio
97,22,81,Médio,Médio,Sim,7,77,Baixo,Sim,2,Médio,Médio,Público,Positivo,3,Não,Pós-Graduação,Longe,Feminino,68,médio
98,20,69,Alto,Alto,Sim,6,73,Médio,Sim,2,Baixo,Médio,Privado,Positivo,3,Não,Ensino Médio,Longe,Masculino,66,médio
99,19,67,Baixo,Médio,Não,5,92,Alto,Sim,0,Médio,Médio,Público,Positivo,3,Não,Faculdade,Perto,Masculino,64,médio
100,12,92,Médio,Médio,Não,4,92,Alto,Sim,2,Médio,Alto,Público,Neutro,3,Sim,Ensino Médio,Moderado,Masculino,67,médio
101,17,65,Médio,Alto,Sim,8,66,Médio,Sim,1,Alto,Alto,Público,Neutro,4,Sim,Pós-Graduação,Moderado,Feminino,65,médio
102,18,79,Médio,Médio,Sim,7,79,Médio,Sim,0,Baixo,Alto,Privado,Neutro,3,Não,Faculdade,Longe,Masculino,65,médio
103,15,98,Alto,Médio,Não,6,58,Alto,Sim,0,Baixo,Alto,Público,Positivo,3,Não,Faculdade,Perto,Masculino,69,médio
104,19,67,Médio,Médio,Não,5,82,Alto,Sim,1,Baixo,Baixo,Privado,Negativo,3,Não,Ensino Médio,Perto,Masculino,63,médio
105,22,99,Médio,Baixo,Sim,6,92,Baixo,Sim,3,Médio,Médio,Público,Negativo,4,Não,Pós-Graduação,Moderado,Masculino,72,médio
106,31,100,Médio,Médio,Não,7,59,Médio,Sim,2,Alto,Alto,Público,Positivo,5,Não,Pós-Graduação,Moderado,Masculino,76,médio
107,21,82,Médio,Alto,Sim,7,66,Alto,Sim,3,Baixo,Médio,Público,Positivo,3,Sim,Faculdade,Perto,Feminino,69,médio
108,22,67,Médio,Médio,Sim,7,72,Alto,Sim,3,Baixo,Alto,Público,Positivo,2,Não,Pós-Graduação,Moderado,Feminino,67,médio
109,20,73,Alto,Médio,Sim,9,92,Médio,Sim,2,Médio,Alto,Público,Positivo,3,Não,Faculdade,Perto,Masculino,69,médio
110,8,77,Alto,Médio,Sim,6,87,Médio,Sim,0,Baixo,Médio,Público,Neutro,2,Não,Ensino Médio,Moderado,Masculino,63,médio
111,20,72,Médio,Médio,Não,9,66,Médio,Sim,3,Baixo,Alto,Privado,Positivo,3,Não,Pós-Graduação,Perto,Masculino,67,médio
112,20,71,Baixo,Alto,Sim,7,62,Alto,Sim,2,Médio,Médio,Público,Negativo,5,Não,Faculdade,Perto,Masculino,66,médio
113,35,99,Alto,Alto,Sim,7,85,Baixo,Sim,2,Médio,Alto,Privado,Neutro,2,Não,Pós-Graduação,Perto,Feminino,79,médio
114,19,66,Médio,Médio,Não,8,74,Médio,Sim,1,Alto,Médio,Público,Neutro,3,Não,Ensino Médio,Perto,Feminino,64,médio
115,22,89,Alto,Alto,Sim,6,80,Médio,Sim,1,Alto,Alto,Público,Positivo,3,Não,Ensino Médio,Perto,Feminino,73,médio
116,20,60,Baixo,Alto,Não,7,82,Alto,Sim,2,Baixo,Alto,Público,Positivo,4,Sim,Ensino Médio,Perto,Masculino,63,médio
117,13,84,Médio,Médio,Não,5,78,Médio,Sim,1,Baixo,Alto,Público,Positivo,2,Não,Ensino Médio,Perto,Masculino,65,médio
118,27,97,Baixo,Alto,Sim,8,81,Médio,Sim,0,Alto,Médio,Público,Positivo,5,Não,Ensino Médio,Perto,Feminino,73,médio
119,25,72,Alto,Alto,Sim,8,94,Baixo,Sim,2,Baixo,Médio,Privado,Positivo,4,Não,Faculdade,Moderado,Feminino,70,médio
120,25,67,Alto,Médio,Não,9,93,Alto,Sim,2,Baixo,Alto,Público,Positivo,3,Sim,Ensino Médio,Perto,Feminino,68,médio
121,15,86,Médio,Médio,Sim,7,57,Médio,Sim,1,Médio,Médio,Público,Negativo,3,Não,Faculdade,Perto,Masculino,65,médio
122,28,89,Baixo,Alto,Sim,9,79,Alto,Sim,0,Baixo,Médio,Privado,Positivo,1,Não,Faculdade,Moderado,Feminino,71,médio
123,12,88,Baixo,Médio,Não,6,72,Baixo,Sim,2,Médio,Médio,Público,Positivo,2,Não,Faculdade,Longe,Masculino,64,médio
124,24,73,Médio,Alto,Sim,8,64,Médio,Sim,4,Alto,Médio,Privado,Neutro,3,Sim,Faculdade,Moderado,Masculino,68,médio
125,33,70,Médio,Médio,Sim,6,82,Baixo,Sim,1,Baixo,Alto,Público,Neutro,4,Não,Faculdade,Perto,Masculino,69,médio
126,14,98,Médio,Médio,Não,7,76,Médio,Sim,0,Médio,Alto,Privado,Positivo,4,Não,Faculdade,Moderado,Feminino,69,médio
127,17,97,Médio,Médio,Não,8,89,Médio,Sim,1,Baixo,Médio,Público,Neutro,4,Não,Ensino Médio,Longe,Masculino,69,médio
128,21,78,Médio,Médio,Sim,10,55,Médio,Sim,1,Alto,Baixo,Privado,Positivo,2,Não,Faculdade,Perto,Masculino,67,médio
129,17,94,Baixo,Médio,Sim,8,65,Baixo,Sim,4,Médio,Médio,Público,Neutro,6,Não,Ensino Médio,Longe,Feminino,68,médio
130,11,78,Médio,Alto,Sim,8,51,Médio,Sim,2,Baixo,Médio,Público,Neutro,3,Não,Pós-Graduação,Perto,Masculino,64,médio
131,20,77,Médio,Médio,Não,6,87,Baixo,Sim,0,Baixo,Alto,Público,Positivo,4,Não,Ensino Médio,Perto,Feminino,66,médio
132,14,66,Alto,Baixo,Não,7,96,Médio,Sim,3,Baixo,Alto,Público,Negativo,3,Não,Ensino Médio,Perto,Masculino,63,médio
133,23,77,Médio,Médio,Sim,7,79,Médio,Sim,0,Baixo,Alto,Público,Neutro,2,Não,Ensino Médio,Moderado,Masculino,66,médio
134,14,81,Médio,Médio,Não,9,81,Médio,Sim,1,Baixo,Alto,Privado,Negativo,3,Não,Pós-Graduação,Perto,Feminino,66,médio
135,29,61,Médio,Alto,Sim,7,52,Baixo,Sim,3,Baixo,Médio,Privado,Positivo,3,Não,Faculdade,Perto,Feminino,67,médio
136,15,78,Alto,Alto,Não,9,75,Baixo,Sim,1,Baixo,Médio,Público,Negativo,1,Não,Ensino Médio,Perto,Masculino,65,médio
137,18,91,Baixo,Médio,Sim,5,76,Médio,Sim,1,Médio,Médio,Público,Neutro,3,Não,Ensino Médio,Perto,Feminino,68,médio
138,25,87,Médio,Baixo,Não,9,52,Alto,Sim,1,Baixo,Alto,Privado,Positivo,2,Não,Ensino Médio,Perto,Masculino,68,médio
139,13,85,Alto,Médio,Não,6,89,Médio,Sim,0,Alto,Médio,Privado,Neutro,1,Sim,Ensino Médio,Perto,Masculino,65,médio
140,21,96,Médio,Médio,Não,8,64,Alto,Sim,2,Médio,Alto,Público,Neutro,0,Não,Faculdade,Perto,Masculino,71,médio
141,28,61,Médio,Alto,Não,6,86,Alto,Sim,1,Baixo,Médio,Privado,Negativo,3,Sim,Pós-Graduação,Longe,Masculino,65,médio
142,10,82,Médio,Baixo,Não,8,70,Médio,Sim,3,Baixo,Alto,Público,Positivo,1,Sim,Pós-Graduação,Perto,Feminino,64,médio
143,21,91,Alto,Médio,Não,6,100,Médio,Sim,0,Alto,Médio,Privado,Neutro,2,Não,Pós-Graduação,Perto,Feminino,72,médio
144,22,82,Médio,Médio,Não,9,61,Médio,Sim,2,Baixo,Médio,Público,Negativo,2,Sim,Ensino Médio,Perto,Feminino,65,médio
145,25,73,Médio,Alto,Não,8,53,Alto,Não,0,Baixo,Alto,Privado,Negativo,5,Não,Pós-Graduação,Perto,Feminino,66,médio
146,13,65,Baixo,Alto,Não,6,99,Médio,Sim,0,Baixo,Médio,Privado,Negativo,4,Não,Ensino Médio,Perto,Masculino,61,médio
147,12,96,Baixo,Alto,Sim,8,62,Médio,Sim,2,Médio,Alto,Público,Negativo,3,Não,Faculdade,Perto,Feminino,68,médio
148,23,79,Alto,Alto,Sim,8,82,Baixo,Sim,3,Médio,Médio,Público,Negativo,3,Sim,Pós-Graduação,Moderado,Feminino,69,médio
149,22,95,Médio,Alto,Sim,6,69,Médio,Sim,1,Baixo,Médio,Público,Positivo,3,Não,Faculdade,Perto,Feminino,72,médio
150,22,83,Médio,Alto,Sim,5,82,Médio,Sim,2,Baixo,Alto,Público,Positivo,3,Não,Pós-Graduação,Perto,Feminino,71,médio
151,22,87,Alto,Alto,Não,5,80,Baixo,Sim,2,Baixo,Alto,Público,Negativo,3,Não,Ensino Médio,Perto,Feminino,70,médio
152,16,92,Médio,Alto,Sim,5,85,Baixo,Sim,1,Baixo,Médio,Público,Neutro,2,Não,Ensino Médio,Moderado,Masculino,68,médio
153,21,86,Baixo,Médio,Sim,5,51,Médio,Sim,2,Baixo,Alto,Público,Positivo,2,Não,Ensino Médio,Moderado,Feminino,67,médio
154,22,76,Médio,Médio,Sim,8,92,Médio,Sim,1,Baixo,Alto,Público,Neutro,4,Não,Ensino Médio,Perto,Feminino,68,médio
155,16,81,Médio,Médio,Sim,8,74,Médio,Sim,3,Médio,Médio,Público,Positivo,2,Não,Pós-Graduação,Perto,Feminino,68,médio
156,31,92,Médio,Médio,Sim,4,76,Médio,Sim,2,Médio,Alto,Público,Positivo,4,Sim,Ensino Médio,Longe,Masculino,72,médio
157,23,75,Baixo,Alto,Não,6,71,Baixo,Sim,0,Médio,Médio,Público,Neutro,2,Não,Faculdade,Perto,Masculino,65,médio
158,13,76,Médio,Alto,Não,5,99,Baixo,Sim,2,Médio,Médio,Privado,Positivo,4,Não,Ensino Médio,Perto,Feminino,66,médio
159,24,64,Médio,Médio,Sim,8,90,Alto,Sim,0,Baixo,Alto,Público,Negativo,3,Não,Ensino Médio,Perto,Masculino,65,médio
160,14,97,Médio,Médio,Sim,6,66,Médio,Sim,2,Médio,Médio,Público,Negativo,3,Sim,Faculdade,Perto,Feminino,67,médio
161,25,64,Médio,Alto,Não,5,89,Baixo,Sim,2,Médio,Médio,Público,Neutro,4,Não,Faculdade,Longe,Masculino,66,médio
162,27,86,Médio,Médio,Não,7,72,Baixo,Sim,1,Médio,Alto,Público,Positivo,4,Não,Ensino Médio,Longe,Masculino,69,médio
163,15,77,Médio,Médio,Sim,8,94,Baixo,Sim,0,Alto,Alto,Público,Positivo,3,Não,Faculdade,Moderado,Masculino,66,médio
164,26,76,Médio,Alto,Sim,6,52,Médio,Sim,4,Alto,Baixo,Público,Neutro,3,Não,Ensino Médio,Perto,Masculino,69,médio
165,22,87,Alto,Baixo,Sim,7,68,Médio,Não,0,Baixo,Médio,Público,Neutro,2,Não,Ensino Médio,Perto,Masculino,67,médio
166,25,63,Alto,Médio,Sim,6,71,Médio,Sim,1,Médio,Baixo,Privado,Positivo,3,Não,Ensino Médio,Perto,Masculino,66,médio
167,31,84,Médio,Médio,Sim,9,87,Médio,Sim,2,Baixo,Médio,Privado,Neutro,3,Não,Faculdade,Longe,Masculino,71,médio
168,19,91,Alto,Baixo,Não,6,59,Médio,Sim,5,Médio,Alto,Público,Neutro,4,Não,Faculdade,Moderado,Masculino,70,médio
169,15,93,Alto,Médio,Não,6,64,Médio,Sim,2,Médio,Alto,Público,Positivo,4,Não,Pós-Graduação,Perto,Masculino,71,médio
170,15,67,Médio,Médio,Sim,7,86,Alto,Sim,1,Alto,Médio,Privado,Positivo,3,Não,Pós-Graduação,Perto,Masculino,66,médio
171,15,96,Médio,Médio,Não,7,54,Alto,Não,3,Médio,Alto,Público,Negativo,2,Não,Ensino Médio,Perto,Masculino,67,médio
172,20,86,Alto,Baixo,Não,8,60,Médio,Sim,1,Médio,Médio,Público,Neutro,4,Sim,Faculdade,Longe,Feminino,66,médio
173,22,95,Médio,Alto,Não,9,88,Baixo,Sim,0,Baixo,Alto,Público,Positivo,2,Não,Pós-Graduação,Perto,Masculino,72,médio
174,22,79,Médio,Médio,Não,9,94,Médio,Sim,1,Médio,Médio,Público,Positivo,3,Não,Ensino Médio,Perto,Masculino,68,médio
175,25,82,Médio,Médio,Não,6,86,Médio,Não,3,Baixo,Alto,Público,Positivo,3,Não,Ensino Médio,Perto,Feminino,69,médio
176,20,97,Médio,Médio,Sim,7,76,Baixo,Sim,2,Baixo,Baixo,Privado,Positivo,3,Não,Pós-Graduação,Perto,Masculino,71,médio
177,29,96,Médio,Médio,Sim,9,55,Baixo,Não,0,Médio,Médio,Público,Neutro,2,Não,Pós-Graduação,Longe,Feminino,70,médio
178,18,78,Médio,Médio,Não,9,91,Alto,Sim,2,Alto,Baixo,Público,Neutro,4,Não,Faculdade,Longe,Feminino,67,médio
179,36,71,Médio,Médio,Sim,6,56,Médio,Sim,2,Alto,Médio,Público,Positivo,2,Não,Ensino Médio,Longe,Masculino,69,médio
